trade_id,pair,entry_z,exit_z,n_days,trade_pnl,entry_stress,stress_band,halflife,reversion
0,NU-VTEX,2.216860289326968,0.4305151278186699,87,-1.389833128573843,2.216860289326968,stress,5.8405589604282016,FAST
1,NU-VTEX,-2.2423182810432594,-0.3770541207342386,27,-0.0803019635525983,2.2423182810432594,stress,5.8405589604282016,FAST
2,NU-VTEX,-2.0415283770781936,0.3227821911061356,2,0.3546372678217737,2.0415283770781936,stress,5.8405589604282016,SLOW
3,NU-VTEX,2.001562070929966,0.2083225051830769,71,-1.4654967413469664,2.001562070929966,stress,5.8405589604282016,FAST
4,NU-VTEX,2.9301718016312295,0.3568787799361885,83,-0.6917917144591315,2.9301718016312295,stress,5.8405589604282016,FAST
5,NU-VTEX,2.26677176136763,0.2120274970661489,41,-0.8365122128554376,2.26677176136763,stress,5.8405589604282016,FAST
6,NU-VTEX,2.3052710708750546,0.1394346722092008,4,0.6288074902367768,2.3052710708750546,stress,5.8405589604282016,SLOW
7,NU-VTEX,-2.298886080782153,-0.3580866204518449,51,0.1903350316052297,2.298886080782153,stress,5.8405589604282016,FAST
8,NU-VTEX,2.8581098411954455,0.4229631191112566,62,-1.9438406879045984,2.8581098411954455,stress,5.8405589604282016,FAST
9,NU-VTEX,2.682328128534633,0.304955705065238,22,0.3394725099028048,2.682328128534633,stress,5.8405589604282016,FAST
10,NU-VTEX,2.3439788911227497,0.4521259918888343,31,0.4388793672423492,2.3439788911227497,stress,5.8405589604282016,FAST
11,NU-VTEX,-2.2524575734634857,-0.4541314458288613,47,-0.9083402650809208,2.2524575734634857,stress,5.8405589604282016,FAST
12,GLOB-NU,-2.9512807055603907,-0.2959182818028966,31,-0.834730275931534,2.9512807055603907,stress,6.268469659188239,FAST
13,GLOB-NU,2.2822931711548256,0.3846417737969685,43,2.150240589881724,2.2822931711548256,stress,6.268469659188239,FAST
14,GLOB-NU,-2.7966469966244225,-0.4842791968413072,129,-83.79622648802987,2.7966469966244225,stress,6.268469659188239,FAST
15,GLOB-NU,2.292789139036448,0.3969387297608804,8,13.747466041378669,2.292789139036448,stress,6.268469659188239,FAST
16,GLOB-NU,-2.158760751345622,-0.0803721773725278,9,6.419603169923866,2.158760751345622,stress,6.268469659188239,FAST
