Ticker
ABEV
AMX
ASR
BAP
BBAR
BBD
BCH
BMA
BRFS
BSAC
BSBR
BVN
CAAP
CEPU
CIB
CPA
CX
DLO
EC
ERJ
FMX
GGAL
GGB
INTR
ITUB
KOF
MELI
NU
PAAS
PAC
PAGS
PAM
PBR
PSMT
SCCO
SQM
TBBB
TGS
TS
TX
UGP
VALE
VIST
XP
YPF
