Ticker
ABEV
AFYA
AGRO
AMX
ARCO
ASR
AVAL
BAK
BAP
BBAR
BBD
BCH
BLX
BMA
BRFS
BSAC
BSBR
BVN
CAAP
CCU
CEPU
CIB
CINT
CPA
CX
DESP
DLO
EC
EDN
ERJ
EVEX
FMX
GGAL
GGB
GLOB
GPRK
IFS
INTR
IRS
ITUB
KOF
MELI
NEXA
NU
OMAB
PAAS
PAC
PAGS
PAM
PAX
PBR
PSMT
SCCO
SGML
SID
SQM
SUPV
TBBB
TGLS
TGS
TS
TV
TX
UGP
VALE
VINP
VIST
VLRS
VTEX
XP
YPF
